A,B,Trips,,,
119,82,5,,,
120,82,1,,,
121,82,3,,,
125,82,2,,,
127,82,1,,,
143,82,8,,,
146,82,2,,,
147,82,1,,,
152,82,2,,,
170,82,1,,,
171,82,1,,,
173,82,1,,,
176,82,1,,,
4,83,2,,,
67,83,1,,,
145,83,2,,,
8,84,1,,,
9,84,2,,,
24,84,3,,,
25,84,1,,,
39,84,1,,,
47,84,2,,,
48,84,3,,,
53,84,1,,,
59,84,1,,,
71,84,1,,,
81,84,1,,,
85,84,14,,,
86,84,4,,,
87,84,1,,,
102,84,3,,,
104,84,3,,,
105,84,1,,,
107,84,8,,,
108,84,6,,,
110,84,1,,,
119,84,7,,,
120,84,12,,,
124,84,5,,,
125,84,6,,,
126,84,16,,,
139,84,1,,,
152,84,1,,,
170,84,4,,,
171,84,9,,,
173,84,3,,,
176,84,2,,,
8,85,3,,,
9,85,1,,,
24,85,4,,,
48,85,1,,,
84,85,14,,,
86,85,7,,,
93,85,1,,,
102,85,3,,,
107,85,1,,,
108,85,2,,,
109,85,1,,,
111,85,1,,,
113,85,3,,,
116,85,1,,,
119,85,6,,,
120,85,5,,,
124,85,1,,,
125,85,1,,,
143,85,3,,,
147,85,1,,,
152,85,1,,,
166,85,1,,,
168,85,1,,,
170,85,4,,,
171,85,2,,,
173,85,4,,,
8,86,2,,,
21,86,1,,,
24,86,6,,,
25,86,5,,,
79,86,1,,,
84,86,6,,,
85,86,4,,,
99,86,1,,,
100,86,3,,,
102,86,1,,,
104,86,2,,,
105,86,1,,,
107,86,10,,,
108,86,7,,,
109,86,1,,,
110,86,6,,,
111,86,4,,,
119,86,6,,,
120,86,1,,,
121,86,1,,,
124,86,1,,,
125,86,3,,,
126,86,1,,,
152,86,2,,,
171,86,2,,,
176,86,1,,,
8,87,3,,,
14,87,1,,,
15,87,11,,,
16,87,87,,,
17,87,2,,,
21,87,4,,,
22,87,3,,,
24,87,1,,,
34,87,1,,,
37,87,3,,,
38,87,4,,,
39,87,2,,,
40,87,1,,,
53,87,5,,,
54,87,10,,,
57,87,2,,,
58,87,14,,,
59,87,47,,,
71,87,5,,,
72,87,20,,,
73,87,1,,,
81,87,1,,,
84,87,1,,,
88,87,23,,,
89,87,4,,,
90,87,1,,,
91,87,3,,,
92,87,1,,,
93,87,1,,,
101,87,1,,,
102,87,1,,,
104,87,1,,,
105,87,5,,,
106,87,2,,,
107,87,12,,,
108,87,5,,,
109,87,2,,,
116,87,31,,,
117,87,5,,,
118,87,23,,,
126,87,1,,,
127,87,2,,,
128,87,6,,,
129,87,2,,,
139,87,1,,,
142,87,8,,,
143,87,4,,,
151,87,10,,,
152,87,3,,,
166,87,3,,,
167,87,1,,,
170,87,1,,,
176,87,1,,,
177,87,1,,,
15,88,1,,,
16,88,5,,,
21,88,1,,,
22,88,1,,,
38,88,2,,,
53,88,1,,,
54,88,14,,,
58,88,1,,,
71,88,3,,,
72,88,3,,,
81,88,3,,,
87,88,22,,,
107,88,4,,,
108,88,1,,,
116,88,6,,,
118,88,4,,,
124,88,1,,,
127,88,1,,,
128,88,1,,,
129,88,4,,,
142,88,1,,,
143,88,2,,,
151,88,1,,,
167,88,1,,,
177,88,2,,,
4,89,2,,,
13,89,2,,,
20,89,1,,,
21,89,4,,,
22,89,2,,,
23,89,1,,,
34,89,1,,,
35,89,1,,,
38,89,2,,,
39,89,8,,,
47,89,1,,,
48,89,1,,,
53,89,1,,,
54,89,2,,,
58,89,1,,,
71,89,3,,,
72,89,6,,,
84,89,2,,,
87,89,4,,,
88,89,1,,,
90,89,98,,,
91,89,33,,,
94,89,2,,,
101,89,2,,,
102,89,1,,,
104,89,1,,,
105,89,37,,,
106,89,24,,,
107,89,2,,,
108,89,4,,,
116,89,2,,,
117,89,5,,,
118,89,7,,,
124,89,1,,,
127,89,2,,,
129,89,2,,,
138,89,1,,,
139,89,4,,,
143,89,1,,,
151,89,3,,,
166,89,6,,,
167,89,3,,,
168,89,19,,,
176,89,1,,,
179,89,12,,,
180,89,36,,,
181,89,1,,,
183,89,2,,,
8,90,1,,,
15,90,6,,,
20,90,1,,,
21,90,11,,,
22,90,2,,,
23,90,2,,,
38,90,1,,,
39,90,1,,,
47,90,1,,,
48,90,1,,,
53,90,1,,,
59,90,1,,,
71,90,8,,,
72,90,2,,,
87,90,1,,,
89,90,95,,,
91,90,42,,,
102,90,1,,,
105,90,10,,,
106,90,21,,,
107,90,2,,,
108,90,2,,,
109,90,3,,,
116,90,6,,,
117,90,15,,,
118,90,16,,,
147,90,1,,,
151,90,2,,,
152,90,1,,,
166,90,3,,,
167,90,21,,,
168,90,13,,,
170,90,2,,,
176,90,1,,,
177,90,2,,,
179,90,2,,,
180,90,2,,,
183,90,1,,,
4,91,1,,,
8,91,1,,,
15,91,1,,,
20,91,1,,,
21,91,1,,,
22,91,3,,,
34,91,1,,,
35,91,1,,,
37,91,4,,,
38,91,3,,,
39,91,3,,,
40,91,1,,,
47,91,2,,,
53,91,2,,,
58,91,1,,,
71,91,17,,,
72,91,8,,,
87,91,3,,,
89,91,38,,,
90,91,37,,,
101,91,1,,,
102,91,4,,,
105,91,1,,,
106,91,12,,,
107,91,5,,,
108,91,3,,,
116,91,7,,,
117,91,20,,,
118,91,16,,,
125,91,1,,,
139,91,1,,,
142,91,1,,,
143,91,1,,,
152,91,3,,,
166,91,1,,,
167,91,3,,,
168,91,7,,,
169,91,1,,,
179,91,5,,,
181,91,1,,,
12,92,21,,,
13,92,6,,,
14,92,13,,,
35,92,3,,,
37,92,2,,,
72,92,1,,,
87,92,1,,,
93,92,106,,,
94,92,41,,,
95,92,1,,,
100,92,1,,,
107,92,1,,,
118,92,1,,,
124,92,1,,,
161,92,1,,,
165,92,1,,,
166,92,1,,,
12,93,4,,,
14,93,3,,,
34,93,1,,,
35,93,2,,,
37,93,1,,,
85,93,1,,,
87,93,1,,,
90,93,1,,,
